"QuestionId_DQ","InterventionId","MetaDataId","Text","Sequence","MetaDataTagId","Label"
106646,1395,14872,"Only
Lea",2,3,"Answer A Text"
106646,1395,14873,"Only
Hugo",3,5,"Answer B Text"
106646,1395,14874,"Both Lea and Hugo",4,7,"Answer C Text"
106646,1395,14875,"Neither is correct",5,9,"Answer D Text"
146279,1400,5908,"This is how Lila calculates the answer to \( 12.3+4.5 \) mentally",1,1,"Question Text"
146279,1400,5909,"Image showing a cartoon girl with three thought bubbles above her head. The first bubble states 'I added the whole part first 12+4=16'. The second states 'I then added the decimal part 0.3+0.5=0.8'. The third bubble states 'I then added 16 and 0.8 to get 16.8.So 12.3+4.5=16.8'",2,2,"Question Image"
146279,1400,5910,"Lila uses the same method to calculate \( 3.5+21.8 \). Which of the following shows how she would do this?",3,1,"Question Text"
146279,1400,5911,"\( \begin{array}{c}3+21=24 \\ 0.5+0.8=0.13 \\ 24+0.13=24.13\end{array} \)",4,3,"Answer A Text"
146279,1400,5912,"\( \begin{array}{c}3.5+21=24.5 \\ 24.5+0.8=25.3\end{array} \)",5,5,"Answer B Text"
146279,1400,5913,"\( \begin{array}{c}3+21=24 \\ 0.5+0.8=1.3 \\ 24+1.3=24.13\end{array} \)",6,7,"Answer C Text"
146279,1400,5914,"\( \begin{array}{c}3+21=24 \\ 0.5+0.8=1.3 \\ 24+1.3=25.3\end{array} \)",7,9,"Answer D Text"
146171,1401,5886,"Ben and Sarah are discussing ways to calculate \( 59 \times 4 \) mentally
Ben doubles \( 59 \) and then doubles the answer
Sarah does \( 60 \times 4 \) and then subtracts \( 4 \) from the answer
Who would get the correct answer?",1,1,"Question Text"
146171,1401,5887,"Only
Ben",2,3,"Answer A Text"
146171,1401,5888,"Only Sarah",3,5,"Answer B Text"
146171,1401,5889,"Both Ben and Sarah",4,7,"Answer C Text"
146171,1401,5890,"Neither is correct",5,9,"Answer D Text"
33474,1411,12458,"Martha has \( \frac{2}{3} \) of a whole cake in the fridge. Edward eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Edward eaten?
Choose the number sentence that would solve the word problem.",1,1,"Question Text"
33474,1411,12459,"\( \frac{1}{3}+\frac{2}{3} \)",2,3,"Answer A Text"
33474,1411,12460,"\( \frac{1}{3} \times \frac{2}{3} \)",3,5,"Answer B Text"
33474,1411,12461,"\( \frac{2}{3} \div \frac{1}{3} \)",4,7,"Answer C Text"
33474,1411,12462,"\( \frac{2}{3}-\frac{1}{3} \)",5,9,"Answer D Text"
99537,1412,36123,"Leo and Sophia are arguing about powers.
\( m \) and \( n \) are integers

Leo says there is no value of \( m \) that means \( 2^{m} \) ends in \( 0 \).
Sophia says there is no value of \( n \) that means \( 5^{n} \) ends in \( 0 \).
Who is correct?",1,1,"Question Text"
99537,1412,36124,"Only
Leo",2,3,"Answer A Text"
99537,1412,36125,"Only
Sophia",3,5,"Answer B Text"
99537,1412,36126,"Both Leo and Sophia",4,7,"Answer C Text"
99537,1412,36127,"Neither is correct",5,9,"Answer D Text"
78389,1413,2677,"The probability of picking a green ball is \( \frac{1}{5} \)
Where is this value on the probability scale?",1,1,"Question Text"
78389,1413,2678,"A diagram showing a probability scale with 10 segments. The scale starts at 0.0, has 0.5 marked after 5 segments, and 1.0 marked at the end, after 10 segments. A is marked after 2 segments, B after 4, C after 5 and D after 7.",2,2,"Question Image"
78389,1413,4344,"A",3,3,"Answer A Text"
78389,1413,4345,"B",4,5,"Answer B Text"
78389,1413,4346,"C",5,7,"Answer C Text"
78389,1413,4347,"D",6,9,"Answer D Text"
104659,1414,39470,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular}",1,1,"Question Text"
104659,1414,39471,"How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",2,1,"Question Text"
104659,1414,39472,"\( 6.55 \)",3,3,"Answer A Text"
104659,1414,39473,"\( 4.27 \)",4,5,"Answer B Text"
104659,1414,39474,"\( 5 \)",5,7,"Answer C Text"
104659,1414,39475,"\( 3.82 \)",6,9,"Answer D Text"
101517,1415,1120,"\( 15 \% \) of \( 40=30 \% \) of \( \ldots \)",1,1,"Question Text"
101517,1415,1121,"\( 6 \)",2,3,"Answer A Text"
101517,1415,1122,"\( 55 \)",3,5,"Answer B Text"
101517,1415,1123,"\( 80 \)",4,7,"Answer C Text"
101517,1415,1124,"\( 20 \)",5,9,"Answer D Text"
131584,1422,14998,"Jack and Sophie are discussing calculations involving square roots.

Jack says \( \sqrt{16}+\sqrt{9}=7 \)

Sophie says \( \sqrt{16+9}=7 \)

Who is correct?",1,1,"Question Text"
131584,1422,14999,"Only Jack",2,3,"Answer A Text"
131584,1422,15000,"Only Sophie",3,5,"Answer B Text"
131584,1422,15001,"Both Jack and Sophie",4,7,"Answer C Text"
131584,1422,15002,"Neither is correct",5,9,"Answer D Text"
77636,1428,1449,"This graph shows how many people visited a museum.",1,1,"Question Text"
77636,1428,1450,"Chart showing number of viewers against year",2,2,"Question Image"
77636,1428,1451,"How many more people visited in \( 2014 \) than in \( 2013 ? \)",3,1,"Question Text"
77636,1428,1452,"\( 75,000 \)",4,3,"Answer A Text"
77636,1428,1453,"\( 350,000 \)",5,5,"Answer B Text"
77636,1428,1454,"\( 25,000 \)",6,7,"Answer C Text"
77636,1428,1455,"\( 750,000 \)",7,9,"Answer D Text"
101043,1431,3743,"Calculate
\(
\frac{3}{5} \div \frac{3}{10}
\)",1,1,"Question Text"
101043,1431,3744,"\( \frac{9}{50} \)",2,3,"Answer A Text"
101043,1431,3745,"\( 2 \)",3,5,"Answer B Text"
101043,1431,3746,"\( \frac{50}{9} \)",4,7,"Answer C Text"
101043,1431,3747,"\( \frac{1}{2} \)",5,9,"Answer D Text"
129180,1433,10060,"\( 90 \) minutes \( =\square \) hours",1,1,"Question Text"
129180,1433,10061,"\( 1.5 \)",2,3,"Answer A Text"
129180,1433,10062,"\( 0.9 \)",3,5,"Answer B Text"
129180,1433,10063,"\( 1.3 \)",4,7,"Answer C Text"
129180,1433,10064,"\( 3 \)",5,9,"Answer D Text"
101539,1437,35797,"What should replace the star?",1,1,"Question Text"
101539,1437,35798,"A scale with 0% marked at the start, and 100% marked at the end. Above the 100% mark is written 180. There is another mark on the scale, quite near the 100% end, labelled above with 153. There is a star below the mark labelled 153, in line with the percentage labels.",2,2,"Question Image"
101539,1437,35799,"\( 80 \% \)",3,3,"Answer A Text"
101539,1437,35800,"\( 75 \% \)",4,5,"Answer B Text"
101539,1437,35801,"\( 73 \% \)",5,7,"Answer C Text"
101539,1437,35802,"\( 85 \% \)",6,9,"Answer D Text"
89236,1440,9296,"\( 4000 \) minutes is about...",1,1,"Question Text"
89236,1440,9297,"\( 3 \) days",2,3,"Answer A Text"
89236,1440,9298,"\( 170 \) days",3,5,"Answer B Text"
89236,1440,9299,"\( 70 \) days",4,7,"Answer C Text"
89236,1440,9300,"\( 6 \) days",5,9,"Answer D Text"
110265,1447,40892,"A snail travels \( 3 \) metres in \( 40 \) minutes

How would you work out its average speed in metres per second?",1,1,"Question Text"
110265,1447,40893,"\( \frac{3}{40} \div 60 \)",2,3,"Answer A Text"
110265,1447,40894,"\( 3 \div 40 \)",3,5,"Answer B Text"
110265,1447,40895,"\( \frac{40}{3} \div 60 \)",4,7,"Answer C Text"
110265,1447,40896,"\( \frac{3}{40} \times 60 \)",5,9,"Answer D Text"
78188,1448,19269,"Which number line represents the solution to \( 2 x+3 \leq 5 \) ?",1,1,"Question Text"
78188,1448,19270,"Numberline from -5 to 5. Closed red circle at 4 with arrow left.",2,4,"Answer A Image"
78188,1448,19271,"Numberline from -5 to 5. Closed blue circle at 1. No arrow",3,6,"Answer B Image"
78188,1448,19272,"Numberline from -5 to 5. Closed green circle at 5 with arrow left",4,8,"Answer C Image"
78188,1448,19273,"Numberline from -5 to 5. Closed purple circle at 1 with arrow left",5,10,"Answer D Image"
135050,1451,34825,"Between 2020 and 2021, the population of a town decreased by \( 35 \% \)
In 2021, the population of the town was \( 94900 \).
What was the population of the town in 2020?",1,1,"Question Text"
135050,1451,34826,"\( 33215 \)",2,3,"Answer A Text"
135050,1451,34827,"\( 128115 \)",3,5,"Answer B Text"
135050,1451,34828,"\( 146000 \)",4,7,"Answer C Text"
135050,1451,34829,"\( 61685 \)",5,9,"Answer D Text"
104632,1453,35898,"Claire and Elijah share some sweets in the ratio \( 3: 2 \)
Claire receives \( 60 \) sweets more than Elijah.
How many sweets does Elijah receive?",1,1,"Question Text"
104632,1453,35899,"\( 20 \)",2,3,"Answer A Text"
104632,1453,35900,"\( 24 \)",3,5,"Answer B Text"
104632,1453,35901,"\( 40 \)",4,7,"Answer C Text"
104632,1453,35902,"\( 120 \)",5,9,"Answer D Text"
104632,1454,35898,"Emma and Elijah share some sweets in the ratio \( 3: 2 \)
Emma receives \( 60 \) sweets more than Elijah.
How many sweets does Elijah receive?",1,1,"Question Text"
104632,1454,35899,"\( 20 \)",2,3,"Answer A Text"
104632,1454,35900,"\( 24 \)",3,5,"Answer B Text"
104632,1454,35901,"\( 40 \)",4,7,"Answer C Text"
104632,1454,35902,"\( 120 \)",5,9,"Answer D Text"
91689,1470,4208,"Using the key on the right, which of the following expressions give the perimeter of this shape in factorised form?",1,1,"Question Text"
91689,1470,4209,"A diagram made up of straight lines between dots on dotted paper. There are 4 vertical lines, 2 horizontal lines and 2 diagonal lines.",2,2,"Question Image"
91689,1470,4210,"This key shows that horizontal and vertical lines can be represented by the letter p and diagonal lines can be represented by the letter q",3,2,"Question Image"
91689,1470,4211,"\( 6 p+2 q \)",4,3,"Answer A Text"
91689,1470,4212,"\( 6(p+q) \)",5,5,"Answer B Text"
91689,1470,4213,"\( 2(3 p+q) \)",6,7,"Answer C Text"
91689,1470,4214,"\( 2(3 p+2 q) \)",7,9,"Answer D Text"
131355,1473,4915,"Which of the following is the correct way of writing:",1,1,"Question Text"
131355,1473,4916,"\( p \) divided by \( q \), then add \( 3 \)",2,1,"Question Text"
131355,1473,4917,"using algebraic convention?",3,1,"Question Text"
131355,1473,4918,"\( p q+3 \)",4,3,"Answer A Text"
131355,1473,4919,"\( \frac{p}{q}+3 \)",5,5,"Answer B Text"
131355,1473,4920,"\( \frac{p}{q+3} \)",6,7,"Answer C Text"
131355,1473,4921,"\( p-q+3 \)",7,9,"Answer D Text"
103717,1474,15098,"\( 0.8 \times 0.15= \)",1,1,"Question Text"
103717,1474,15099,"\( 1.2 \)",2,3,"Answer A Text"
103717,1474,15100,"\( 1.20 \)",3,5,"Answer B Text"
103717,1474,15101,"\( 0.012 \)",4,7,"Answer C Text"
103717,1474,15102,"\( 0.12 \)",5,9,"Answer D Text"
129110,1478,40492,"Bruce is recording the number of pets his classmates have in the frequency table on the right.

A new boy joins the class who has a cat and a dog.

Which box will change in value?",1,1,"Question Text"
129110,1478,40493,"\begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 4 \) \\
\hline \( 1 (A) \) & \( 6(B) \) \\
\hline \( 2(C) \) & \( 3(D) \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 5 \) \\
\hline
\end{tabular}",2,1,"Question Text"
129110,1478,40494,"A",3,3,"Answer A Text"
129110,1478,40495,"B",4,5,"Answer B Text"
129110,1478,40496,"C",5,7,"Answer C Text"
129110,1478,40497,"D",6,9,"Answer D Text"
76891,1490,2424,"Which calculation is correct to find the number of degrees representing comedy in a pie chart showing the following information?",1,1,"Question Text"
76891,1490,2425,"\begin{tabular}{|c|c|c|c|}
\hline Film Genre & Comedy & Romance & Action \\
\hline Number of teachers & \( 9 \) & \( 4 \) & \( 7 \) \\
\hline
\end{tabular}",2,1,"Question Text"
76891,1490,2426,"\( 360 \div 9 \)",3,3,"Answer A Text"
76891,1490,2427,"\( 360 \div 13 \times 9 \)",4,5,"Answer B Text"
76891,1490,2428,"\( 360 \div 9+4+7 \times 4 \)",5,7,"Answer C Text"
76891,1490,2429,"\( \frac{9}{9+7+4} \times 360 \)",6,9,"Answer D Text"
104313,1515,38501,"\(
0.0427
\)

What is the first significant figure in the number above?",1,1,"Question Text"
104313,1515,38502,"The first \( 0 \)",2,3,"Answer A Text"
104313,1515,38503,"The second \( 0 \)",3,5,"Answer B Text"
104313,1515,38504,"\( 4 \)",4,7,"Answer C Text"
104313,1515,38505,"\( 2 \)",5,9,"Answer D Text"
134801,1517,9446,"Liam and Emma are discussing the order of operations
Liam says: \( 3+2-1 \equiv 3-1+2 \)
Emma says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)",1,1,"Question Text"
134801,1517,9447,"Only
Liam",2,3,"Answer A Text"
134801,1517,9448,"Only Emma",3,5,"Answer B Text"
134801,1517,9449,"Both Liam and Emma",4,7,"Answer C Text"
134801,1517,9450,"Neither is correct",5,9,"Answer D Text"
101078,1523,6126,"The fractions in the two circles below add to give the fraction in the circle above.

What should replace the question mark?",1,1,"Question Text"
101078,1523,6127,"Part whole model with 3/5 typed in the top circle, 2/7 typed in the bottom right circle and a ? typed in the bottom left circle.",2,2,"Question Image"
101078,1523,6128,"\( \frac{11}{35} \)",3,3,"Answer A Text"
101078,1523,6129,"\( \frac{31}{35} \)",4,5,"Answer B Text"
101078,1523,6130,"\( \frac{1}{2} \)",5,7,"Answer C Text"
101078,1523,6131,"\( \frac{1}{35} \)",6,9,"Answer D Text"
129110,1525,40492,"Mike is recording the number of pets his classmates have in the frequency table on the right.

A new boy joins the class who has a cat and a dog.

Which box will change in value?",1,1,"Question Text"
129110,1525,40493,"\begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 4 \) \\
\hline \( 1 (A) \) & \( 6(B) \) \\
\hline \( 2(C) \) & \( 3(D) \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 5 \) \\
\hline
\end{tabular}",2,1,"Question Text"
129110,1525,40494,"A",3,3,"Answer A Text"
129110,1525,40495,"B",4,5,"Answer B Text"
129110,1525,40496,"C",5,7,"Answer C Text"
129110,1525,40497,"D",6,9,"Answer D Text"
130058,1526,39978,"Which of these fractions could be placed between the fractions marked on the number line?",1,1,"Question Text"
130058,1526,39979,"A number line with 2/3 marked at one end, 9/12 at the other",2,2,"Question Image"
130058,1526,39980,"\( \frac{1}{9} \)",3,3,"Answer A Text"
130058,1526,39981,"\( \frac{3}{6} \)",4,5,"Answer B Text"
130058,1526,39982,"\( \frac{17}{24} \)",5,7,"Answer C Text"
130058,1526,39983,"\( \frac{5}{36} \)",6,9,"Answer D Text"
98026,1530,3111,"Line segment \( P \) joins up \( (1,1) \) and \( (3,6) \). Line segment \( Q \) joins up \( (3,1) \) and \( (7,3) \). Which line segment is longer?",1,1,"Question Text"
98026,1530,3112,"\( P \)",2,3,"Answer A Text"
98026,1530,3113,"Q",3,5,"Answer B Text"
98026,1530,3114,"They are the same length",4,7,"Answer C Text"
98026,1530,3115,"We need more information",5,9,"Answer D Text"
131446,1543,13825,"Which of the following is the most appropriate word to describe:
\(
3 p+7
\)",1,1,"Question Text"
131446,1543,13826,"Equation",2,3,"Answer A Text"
131446,1543,13827,"Term",3,5,"Answer B Text"
131446,1543,13828,"Variable",4,7,"Answer C Text"
131446,1543,13829,"Expression",5,9,"Answer D Text"
89418,1544,16649,"A number line with the number -3 on the left and 8 on the right. Above the 8 is a red arrow to the left with -2 written above it. At the end of that arrow is another arrow to the left with the letter a written above it. The second arrow stops above the number -3 on the number line.",1,2,"Question Image"
89418,1544,16650,"What is the value of \( a \) ?",2,1,"Question Text"
89418,1544,16651,"\( -9 \)",3,3,"Answer A Text"
89418,1544,16652,"\( -3 \)",4,5,"Answer B Text"
89418,1544,16653,"\( -10 \)",5,7,"Answer C Text"
89418,1544,16654,"\( -8 \)",6,9,"Answer D Text"
147296,1548,19964,"An image with 5 boxes. The first box contains the number 108, the second is empty, the third has a gold star, the fourth has the number 4 in it and the final box has 1 and 1/3.",1,2,"Question Image"
147296,1548,19965,"This is a non-linear sequence

What should replace the star?",2,1,"Question Text"
147296,1548,19966,"\( 16 \)",3,3,"Answer A Text"
147296,1548,19967,"\( 38 \frac{2}{3} \)",4,5,"Answer B Text"
147296,1548,19968,"\( 12 \)",5,7,"Answer C Text"
147296,1548,19969,"\( 6 \frac{2}{3} \)",6,9,"Answer D Text"
77867,1556,7367,"Which is the correct net for this shape?",1,1,"Question Text"
77867,1556,7368,"Net of a cuboid",2,2,"Question Image"
77867,1556,7369,"Correct net of a cuboid",3,4,"Answer A Image"
77867,1556,7370,"Net of a triangular prism",4,6,"Answer B Image"
77867,1556,7371,"Net of a cube",5,8,"Answer C Image"
77867,1556,7372,"None of the above",6,10,"Answer D Image"
131550,1557,17879,"This pictogram shows the different types of music Liam has in his music collection.

Which of the following numbers of CDs could Liam represent with whole symbols?",1,1,"Question Text"
131550,1557,17880,"A pictogram showing the number of CDs Liam has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.",2,2,"Question Image"
131550,1557,17881,"\( 1 \)",3,3,"Answer A Text"
131550,1557,17882,"\( 14 \)",4,5,"Answer B Text"
131550,1557,17883,"\( 24 \)",5,7,"Answer C Text"
131550,1557,17884,"\( 34 \)",6,9,"Answer D Text"
78240,1565,24876,"This is a table of values for \( 3 x+2 y=6 \) What should replace the star?",1,1,"Question Text"
78240,1565,24877,"\begin{tabular}{|l|l|l|l|l|l|}
\hline\( x \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( y \) & & & & \multirow{2}{*}{}
\end{tabular}",2,2,"Question Image"
78240,1565,24878,"\( 1.5 \)",3,3,"Answer A Text"
78240,1565,24879,"\( 3 \)",4,5,"Answer B Text"
78240,1565,24880,"\( -1.5 \)",5,7,"Answer C Text"
78240,1565,24881,"\( -3 \)",6,9,"Answer D Text"
131443,1579,13810,"\(
2 \frac{2}{3} \div 2
\)
Which of the following is a correct way to write the answer to this calculation?",1,1,"Question Text"
131443,1579,13811,"\( 1 \frac{1}{3} \)",2,3,"Answer A Text"
131443,1579,13812,"\( 1 \frac{2}{3} \)",3,5,"Answer B Text"
131443,1579,13813,"\( 2 \frac{1}{3} \)",4,7,"Answer C Text"
131443,1579,13814,"\( \frac{3}{4} \)",5,9,"Answer D Text"
108135,1605,16275,"\begin{tabular}{|c|c|c|c|}
\hline \(\;\) & TVs & Frequency & TVs \( \times \) Frequency \\
\hline \(\;\) & \( 0 \) & \( 3 \) & \( 0 \) \\
\hline \(\;\) & \( 1 \) & \( 8 \) & \( 8 \) \\
\hline \(\;\) & \( 2 \) & \( 8 \) & \( 16 \) \\
\hline \(\;\) & \( 3 \) & \( 4 \) & \( 12 \) \\
\hline \(\;\) & \( 4 \) & \( 2 \) & \( 8 \) \\
\hline \(Total:\) & \( \mathbf{1 0} \) & \( \mathbf{2 5} \) & \( \mathbf{4 4} \) \\
\hline
\end{tabular}",1,1,"Question Text"
108135,1605,16276,"The table shows the numbers of TVs in the households of students in a class.
To calculate the mean number of TVs you do:
\(
\triangle \div \bigcirc
\)
What should replace the circle?",2,1,"Question Text"
108135,1605,16277,"\( 5 \)",3,3,"Answer A Text"
108135,1605,16278,"\( 44 \)",4,5,"Answer B Text"
108135,1605,16279,"\( 25 \)",5,7,"Answer C Text"
108135,1605,16280,"\( 10 \)",6,9,"Answer D Text"
133553,1616,40987,"What is the constant of proportionality from a to \( b \) ?",1,1,"Question Text"
133553,1616,40988,"\begin{tabular}{|c|c|}
\hline \( \mathrm{a} \) & \( \mathrm{b} \) \\
\hline \( 6 \) & \( 2 \) \\
\hline \( 30 \) & \( 10 \) \\
\hline
\end{tabular}",2,1,"Question Text"
133553,1616,40989,"\( \frac{1}{3} \)",3,3,"Answer A Text"
133553,1616,40990,"\( 3 \)",4,5,"Answer B Text"
133553,1616,40991,"\( \frac{1}{5} \)",5,7,"Answer C Text"
133553,1616,40992,"\( 5 \)",6,9,"Answer D Text"
129110,1625,40492,"Miguel is recording the number of pets his classmates have in the frequency table on the right.

A new boy joins the class who has a cat and a dog.

Which box will change in value?",1,1,"Question Text"
129110,1625,40493,"\begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 4 \) \\
\hline \( 1 (A) \) & \( 6(B) \) \\
\hline \( 2(C) \) & \( 3(D) \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 5 \) \\
\hline
\end{tabular}",2,1,"Question Text"
129110,1625,40494,"A",3,3,"Answer A Text"
129110,1625,40495,"B",4,5,"Answer B Text"
129110,1625,40496,"C",5,7,"Answer C Text"
129110,1625,40497,"D",6,9,"Answer D Text"
76890,1629,11495,"The pie chart shows colours of motorbikes in a shop.

There are \( 20 \) more blue bikes than white. How many bikes are there altogether?",1,1,"Question Text"
76890,1629,11496,"\( 6 \)",2,2,"Question Image"
76890,1629,11497,"\( 54 \)",3,3,"Answer A Text"
76890,1629,11498,"\( 160 \)",4,5,"Answer B Text"
76890,1629,11499,"\( 40 \)",5,7,"Answer C Text"
76890,1629,11500,"\( 80 \)",6,9,"Answer D Text"
129117,1632,2063,"What is \( 326 \) rounded to the nearest \( 1000 \) ?",1,1,"Question Text"
129117,1632,2064,"\( 1000 \)",2,3,"Answer A Text"
129117,1632,2065,"\( 3000 \)",3,5,"Answer B Text"
129117,1632,2066,"\( 500 \)",4,7,"Answer C Text"
129117,1632,2067,"\( 0 \)",5,9,"Answer D Text"
109816,1639,13130,"In which region would \( \frac{10}{15} \) belong?",1,1,"Question Text"
109816,1639,13131,"A Venn diagram with two circles labelled simplifies and equivalent to 6/9. A is in the simplifies only region, B is in the intersection, C is in the equivalent to 6/9 only region and D is outside the two circles.",2,2,"Question Image"
109816,1639,13132,"A",3,3,"Answer A Text"
109816,1639,13133,"B",4,5,"Answer B Text"
109816,1639,13134,"C",5,7,"Answer C Text"
109816,1639,13135,"D",6,9,"Answer D Text"
132153,1640,13852,"Here is a function machine
\( input\Rightarrow +2 \Rightarrow \times 3 \Rightarrow output\)
The input is \( 5 \).
Which calculation gives the correct output?",1,1,"Question Text"
132153,1640,13853,"\( 5 \times 3+2 \)",2,3,"Answer A Text"
132153,1640,13854,"\( 3(5+2) \)",3,5,"Answer B Text"
132153,1640,13855,"\( 5(3+2) \)",4,7,"Answer C Text"
132153,1640,13856,"\( 5+2 \times 3 \)",5,9,"Answer D Text"
89557,1646,1627,"Which calculation is equal to \( -20 \) ?",1,1,"Question Text"
89557,1646,1628,"\( 2 \times(-2)-(-4) \times 4 \)",2,3,"Answer A Text"
89557,1646,1629,"\( -28-(-4) \times 2 \)",3,5,"Answer B Text"
89557,1646,1630,"\( (-5)^{2}+5 \)",4,7,"Answer C Text"
89557,1646,1631,"\( (-42) \div(-2)+1 \)",5,9,"Answer D Text"
89405,1657,2100,"Which statement about the temperatures \( -7^{\circ} \mathrm{C} \) and \( 5^{\circ} \mathrm{C} \) is true?",1,1,"Question Text"
89405,1657,2101,"\( 5^{\circ} \mathrm{C} \) is \( 2^{\circ} \mathrm{C} \) 
colder than 
\( -7^{\circ} \mathrm{C} \)",2,3,"Answer A Text"
89405,1657,2102,"\( 5^{\circ} \mathrm{C} \) is \( 12^{\circ} \mathrm{C} \) 
colder than 
\( -7^{\circ} \mathrm{C} \)",3,5,"Answer B Text"
89405,1657,2103,"\( 5^{\circ} \mathrm{C} \) is \( 2^{\circ} \mathrm{C} \)
hotter than
\( -7^{\circ} \mathrm{C} \)",4,7,"Answer C Text"
89405,1657,2104,"\( 5^{\circ} \mathrm{C} \) is \( 12^{\circ} \mathrm{C} \) 
hotter than
\( -7^{\circ} \mathrm{C} \)",5,9,"Answer D Text"
133602,1669,10335,"For every \( 2 \) marbles Laura has, Danny has three times as many.

Write the number of marbles Laura and Danny have as a ratio, with Laura's part first.",1,1,"Question Text"
133602,1669,10336,"\( 2\;: 3 \)",2,3,"Answer A Text"
133602,1669,10337,"\( 2\;: 5 \)",3,5,"Answer B Text"
133602,1669,10338,"\( 1\;: 3 \)",4,7,"Answer C Text"
133602,1669,10339,"None of these",5,9,"Answer D Text"
77172,1672,8718,"A triangle has an area of \( 3.6 \mathrm{~cm}^{2} \)
Its base is \( 9 \mathrm{~cm} \) long
What is the perpendicular height of the triangle?",1,1,"Question Text"
77172,1672,8719,"\( 16.2 \mathrm{~cm} \)",2,3,"Answer A Text"
77172,1672,8720,"\( 32.4 \mathrm{~cm} \)",3,5,"Answer B Text"
77172,1672,8721,"\( 0.8 \mathrm{~cm} \)",4,7,"Answer C Text"
77172,1672,8722,"\( 0.4 \mathrm{~cm} \)",5,9,"Answer D Text"
132162,1677,37908,"Jack and Lucy are arguing about decimal inequalities
Jack says \( 0.42<\mathbf{0 . 1 5} \)
Lucy says \( 2.51>4.31 \)
Who is correct?",1,1,"Question Text"
132162,1677,37909,"Only
Jack",2,3,"Answer A Text"
132162,1677,37910,"Only
Lucy",3,5,"Answer B Text"
132162,1677,37911,"Both Jack and Lucy",4,7,"Answer C Text"
132162,1677,37912,"Neither is correct",5,9,"Answer D Text"
77128,1683,7345,"\(
2 r^{2}-4 r
\)
What is the value of this expression when \( r=-2 \) ?",1,1,"Question Text"
77128,1683,7346,"\( -34 \)",2,3,"Answer A Text"
77128,1683,7347,"\( -16 \)",3,5,"Answer B Text"
77128,1683,7348,"\( 16 \)",4,7,"Answer C Text"
77128,1683,7349,"\( 0 \)",5,9,"Answer D Text"
78238,1684,23322,"Which of the following points does not lie on the line \( y=2 x-4 \) ?",1,1,"Question Text"
78238,1684,23323,"\( (-1,-6) \)",2,3,"Answer A Text"
78238,1684,23324,"\( (1,-2) \)",3,5,"Answer B Text"
78238,1684,23325,"\( (0,-4) \)",4,7,"Answer C Text"
78238,1684,23326,"\( (-4,-4) \)",5,9,"Answer D Text"
101048,1688,3531,"Alex has two fraction cards.
\( \frac{5}{8} \quad \square\)
The product of the cards is \( \frac{1}{6} \) What is the other card?",1,1,"Question Text"
101048,1688,3532,"\( \frac{19}{24} \)",2,3,"Answer A Text"
101048,1688,3533,"\( \frac{5}{48} \)",3,5,"Answer B Text"
101048,1688,3534,"\( \frac{15}{4} \)",4,7,"Answer C Text"
101048,1688,3535,"\( \frac{4}{15} \)",5,9,"Answer D Text"
101381,1692,544,"To make pink paint, you mix red paint with white paint in the ratio \( 3: 4 \).
What should replace the star?",1,1,"Question Text"
101381,1692,1076,"Red, White, Total | 1200 ml, Star, Blank",2,2,"Question Image"
101381,1692,545,"\( 1201 \ \mathrm{ml} \)",3,3,"Answer A Text"
101381,1692,546,"\( 900 \ \mathrm{ml} \)",4,5,"Answer B Text"
101381,1692,547,"\( 4800 \ \mathrm{ml} \)",5,7,"Answer C Text"
101381,1692,157,"\( 1600 \ \mathrm{ml} \)",6,9,"Answer D Text"
91621,1703,2829,"Jack and Sophie are arguing about the result of this Function Machine:
Jack says the output is: \( 3 n-12 \)
Sophie says the output is: \( 3(n-4) \)
Who is correct?",1,1,"Question Text"
91621,1703,2830,"A function machine with input n and operations subtract 4, multiply by 3",2,2,"Question Image"
91621,1703,2831,"Only Jack",3,3,"Answer A Text"
91621,1703,2832,"Only
Sophie",4,5,"Answer B Text"
91621,1703,2833,"Both Jack and Sophie",5,7,"Answer C Text"
91621,1703,2834,"Neither is correct",6,9,"Answer D Text"
89316,1708,1938,"""I started with \( 12 \) then subtracted 8. Then I multiplied by \( 3 \).
Then I added on 2""
Which of the following calculations fits this description?",1,1,"Question Text"
89316,1708,1939,"\( (12-8) \times 3+2 \)",2,3,"Answer A Text"
89316,1708,1940,"\( 12-8 \times 3+2 \)",3,5,"Answer B Text"
